X,Y,Z
0.5348597870750427,0.6265687708854675,0.0
0.5195330685539246,0.6256718333244324,0.0
0.507872826741457,0.6256718333244324,0.0
0.49800646811556815,0.6265687708854675,0.0
0.4778252813501358,0.6108722931861876,0.0
0.47827375159692764,0.5754430953025818,0.0
0.4800676355166435,0.5323898929595947,0.0
0.47961916526985165,0.5225235343337059,0.0
0.47961916526985165,0.5153480001211166,0.0
0.4805161072297096,0.4745371534109115,0.0
0.48186151943635935,0.4431441950798034,0.0
0.4953156444354057,0.4099573528289795,0.0
